OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_HOUR,PREMISES_TYPE,OFFENCE,MCI_CATEGORY,NEIGHBOURHOOD_140
2025-03-02 05:00:00,2025,March,2,Sunday    ,10,Transit,Assault,Assault,Bay Street Corridor (76)
2025-03-03 05:00:00,2025,March,3,Monday    ,15,Commercial,Theft Over,Theft Over,York University Heights (27)
2025-02-28 05:00:00,2025,February,28,Friday    ,0,Apartment,Theft Over,Theft Over,Willowridge-Martingrove-Richview (7)
2025-03-03 05:00:00,2025,March,3,Monday    ,21,Outside,Assault,Assault,New Toronto (18)
2025-03-01 05:00:00,2025,March,1,Saturday  ,22,Commercial,Theft Over,Theft Over,Alderwood (20)
2025-02-12 05:00:00,2025,February,12,Wednesday ,0,House,Theft Of Motor Vehicle,Auto Theft,York University Heights (27)
2025-03-02 05:00:00,2025,March,2,Sunday    ,21,House,Theft Of Motor Vehicle,Auto Theft,Rouge (131)
2025-03-03 05:00:00,2025,March,3,Monday    ,3,House,Assault With Weapon,Assault,Black Creek (24)
2025-03-03 05:00:00,2025,March,3,Monday    ,0,House,Theft Of Motor Vehicle,Auto Theft,Bayview Woods-Steeles (49)
2025-03-03 05:00:00,2025,March,3,Monday    ,3,House,Robbery - Home Invasion,Robbery,Black Creek (24)
2025-03-01 05:00:00,2025,March,1,Saturday  ,17,Commercial,Theft Of Motor Vehicle,Auto Theft,Humber Summit (21)
2025-03-01 05:00:00,2025,March,1,Saturday  ,12,Outside,Theft Of Motor Vehicle,Auto Theft,Humbermede (22)
2025-03-01 05:00:00,2025,March,1,Saturday  ,15,Apartment,B&E,Break and Enter,Oakridge (121)
2025-03-03 05:00:00,2025,March,3,Monday    ,23,Other,Discharge Firearm With Intent,Assault,Eringate-Centennial-West Deane (11)
2025-03-03 05:00:00,2025,March,3,Monday    ,22,Outside,Discharge Firearm With Intent,Assault,Keelesdale-Eglinton West (110)
2025-03-03 05:00:00,2025,March,3,Monday    ,7,Apartment,B&E W'Intent,Break and Enter,Yonge-St.Clair (97)
2025-02-28 05:00:00,2025,February,28,Friday    ,15,Transit,B&E W'Intent,Break and Enter,University (79)
2025-03-03 05:00:00,2025,March,3,Monday    ,7,Commercial,B&E W'Intent,Break and Enter,Don Valley Village (47)
2025-03-03 05:00:00,2025,March,3,Monday    ,17,Other,Assault,Assault,Clairlea-Birchmount (120)
2025-03-03 05:00:00,2025,March,3,Monday    ,20,Other,Assault,Assault,Thorncliffe Park (55)
2025-03-03 05:00:00,2025,March,3,Monday    ,23,House,Assault,Assault,Steeles (116)
2025-03-03 05:00:00,2025,March,3,Monday    ,23,Outside,Assault,Assault,Waterfront Communities-The Island (77)
2025-03-03 05:00:00,2025,March,3,Monday    ,2,Commercial,B&E,Break and Enter,Wychwood (94)
2025-03-03 05:00:00,2025,March,3,Monday    ,5,Commercial,B&E,Break and Enter,Waterfront Communities-The Island (77)
2025-03-03 05:00:00,2025,March,3,Monday    ,23,Apartment,Assault,Assault,Church-Yonge Corridor (75)
2025-03-03 05:00:00,2025,March,3,Monday    ,12,Apartment,Assault,Assault,Oakridge (121)
2025-03-03 05:00:00,2025,March,3,Monday    ,7,Transit,Assault,Assault,St.Andrew-Windfields (40)
2025-03-03 05:00:00,2025,March,3,Monday    ,11,Apartment,B&E,Break and Enter,Humewood-Cedarvale (106)
2025-03-03 05:00:00,2025,March,3,Monday    ,3,Commercial,B&E,Break and Enter,Clairlea-Birchmount (120)
2025-03-03 05:00:00,2025,March,3,Monday    ,3,Apartment,B&E,Break and Enter,Dovercourt-Wallace Emerson-Junction (93)
2025-03-03 05:00:00,2025,March,3,Monday    ,16,Apartment,Assault,Assault,Kensington-Chinatown (78)
2025-03-03 05:00:00,2025,March,3,Monday    ,8,Commercial,Assault,Assault,Oakridge (121)
2025-03-02 05:00:00,2025,March,2,Sunday    ,18,Other,Assault,Assault,Clairlea-Birchmount (120)
2025-03-03 05:00:00,2025,March,3,Monday    ,7,Outside,Assault,Assault,Mount Dennis (115)
2025-03-03 05:00:00,2025,March,3,Monday    ,8,Apartment,Assault,Assault,Westminster-Branson (35)
2025-03-02 05:00:00,2025,March,2,Sunday    ,18,House,B&E,Break and Enter,Newtonbrook West (36)
2025-03-03 05:00:00,2025,March,3,Monday    ,0,Apartment,Assault,Assault,Clairlea-Birchmount (120)
2025-03-03 05:00:00,2025,March,3,Monday    ,0,Other,Assault,Assault,Niagara (82)
2025-03-03 05:00:00,2025,March,3,Monday    ,13,Commercial,Assault Peace Officer,Assault,Church-Yonge Corridor (75)
2025-03-03 05:00:00,2025,March,3,Monday    ,16,Apartment,Assault,Assault,Kensington-Chinatown (78)
2025-03-03 05:00:00,2025,March,3,Monday    ,14,Outside,Assault,Assault,Banbury-Don Mills (42)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,15,Other,Assault,Assault,North St.James Town (74)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,15,Apartment,Robbery - Swarming,Robbery,Dorset Park (126)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,16,Outside,Robbery - Vehicle Jacking,Robbery,Bridle Path-Sunnybrook-York Mills (41)
2025-03-03 05:00:00,2025,March,3,Monday    ,12,Apartment,Robbery - Home Invasion,Robbery,New Toronto (18)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,2,Apartment,Robbery - Home Invasion,Robbery,North Riverdale (68)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,2,Apartment,Robbery - Home Invasion,Robbery,North Riverdale (68)
2025-02-28 05:00:00,2025,February,28,Friday    ,12,Educational,Robbery With Weapon,Robbery,Agincourt North (129)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,13,Outside,Aggravated Assault,Assault,Trinity-Bellwoods (81)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,21,Commercial,Robbery - Business,Robbery,Bay Street Corridor (76)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,16,Transit,Assault,Assault,Annex (95)
2025-03-03 05:00:00,2025,March,3,Monday    ,21,Outside,Theft Of Motor Vehicle,Auto Theft,Kennedy Park (124)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,4,Other,Theft Of Motor Vehicle,Auto Theft,Westminster-Branson (35)
2025-01-03 05:00:00,2025,January,3,Friday    ,16,Outside,Theft Of Motor Vehicle,Auto Theft,Newtonbrook West (36)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,16,Apartment,Theft Of Motor Vehicle,Auto Theft,Clanton Park (33)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,23,Commercial,Discharge Firearm With Intent,Assault,Wexford/Maryvale (119)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,2,House,Theft From Motor Vehicle Over,Theft Over,Highland Creek (134)
2025-03-01 05:00:00,2025,March,1,Saturday  ,13,Outside,Theft From Motor Vehicle Over,Theft Over,Clairlea-Birchmount (120)
2025-03-03 05:00:00,2025,March,3,Monday    ,20,Outside,Theft Of Motor Vehicle,Auto Theft,Elms-Old Rexdale (5)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,0,Apartment,Unlawfully In Dwelling-House,Break and Enter,Broadview North (57)
2025-03-03 05:00:00,2025,March,3,Monday    ,20,Other,Assault,Assault,Mimico (includes Humber Bay Shores) (17)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,9,Outside,Assault,Assault,East End-Danforth (62)
2025-03-03 05:00:00,2025,March,3,Monday    ,10,Educational,Assault With Weapon,Assault,Wychwood (94)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,10,Apartment,Assault,Assault,Moss Park (73)
2025-02-13 05:00:00,2025,February,13,Thursday  ,13,Outside,Assault,Assault,Junction Area (90)
2025-02-13 05:00:00,2025,February,13,Thursday  ,13,Outside,Assault,Assault,Junction Area (90)
2025-03-03 05:00:00,2025,March,3,Monday    ,21,Outside,Theft Of Motor Vehicle,Auto Theft,Bay Street Corridor (76)
2025-03-03 05:00:00,2025,March,3,Monday    ,15,Other,Assault,Assault,Junction Area (90)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,11,Apartment,Assault,Assault,Playter Estates-Danforth (67)
2025-03-03 05:00:00,2025,March,3,Monday    ,22,House,Assault Bodily Harm,Assault,Malvern (132)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,7,Apartment,Assault,Assault,NSA
2025-03-04 05:00:00,2025,March,4,Tuesday   ,19,House,B&E,Break and Enter,Birchcliffe-Cliffside (122)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,1,Commercial,B&E,Break and Enter,Lansing-Westgate (38)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,23,Commercial,B&E,Break and Enter,York University Heights (27)
2025-01-22 05:00:00,2025,January,22,Wednesday ,0,Apartment,B&E,Break and Enter,East End-Danforth (62)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,18,House,B&E,Break and Enter,Pelmo Park-Humberlea (23)
2025-02-27 05:00:00,2025,February,27,Thursday  ,12,House,B&E,Break and Enter,Downsview-Roding-CFB (26)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,10,House,B&E,Break and Enter,Mount Pleasant East (99)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,15,Apartment,Robbery - Mugging,Robbery,Dorset Park (126)
2025-03-03 05:00:00,2025,March,3,Monday    ,16,Outside,Robbery - Mugging,Robbery,Dovercourt-Wallace Emerson-Junction (93)
2025-02-25 05:00:00,2025,February,25,Tuesday   ,17,Apartment,B&E,Break and Enter,University (79)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,8,House,B&E,Break and Enter,Rexdale-Kipling (4)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,2,Commercial,B&E,Break and Enter,Annex (95)
2025-02-01 05:00:00,2025,February,1,Saturday  ,0,Other,Assault,Assault,NSA
2025-03-04 05:00:00,2025,March,4,Tuesday   ,16,Commercial,Assault,Assault,Yorkdale-Glen Park (31)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,11,Other,Assault,Assault,Bendale (127)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,13,Commercial,Assault,Assault,Annex (95)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,18,House,Assault,Assault,Don Valley Village (47)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,1,Outside,Theft Of Motor Vehicle,Auto Theft,Regent Park (72)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,0,Outside,Theft Of Motor Vehicle,Auto Theft,Islington-City Centre West (14)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,0,Outside,Theft Of Motor Vehicle,Auto Theft,Playter Estates-Danforth (67)
2025-03-03 05:00:00,2025,March,3,Monday    ,18,Outside,Theft Of Motor Vehicle,Auto Theft,Mount Pleasant West (104)
2025-03-03 05:00:00,2025,March,3,Monday    ,9,Outside,Theft Of Motor Vehicle,Auto Theft,Thorncliffe Park (55)
2025-03-03 05:00:00,2025,March,3,Monday    ,21,Outside,Theft Of Motor Vehicle,Auto Theft,Kennedy Park (124)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,13,Commercial,Assault,Assault,Briar Hill-Belgravia (108)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,4,Commercial,B&E,Break and Enter,L'Amoreaux (117)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,4,Other,B&E,Break and Enter,Islington-City Centre West (14)
2025-02-25 05:00:00,2025,February,25,Tuesday   ,6,Outside,Theft Of Motor Vehicle,Auto Theft,West Humber-Clairville (1)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,7,Outside,Theft Of Motor Vehicle,Auto Theft,Mount Olive-Silverstone-Jamestown (2)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,2,Commercial,B&E,Break and Enter,Islington-City Centre West (14)
2025-02-28 05:00:00,2025,February,28,Friday    ,18,Outside,Theft Of Motor Vehicle,Auto Theft,West Humber-Clairville (1)
2025-02-26 05:00:00,2025,February,26,Wednesday ,21,Outside,Theft Of Motor Vehicle,Auto Theft,West Humber-Clairville (1)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,18,House,Theft Over,Theft Over,Pelmo Park-Humberlea (23)
2025-02-28 05:00:00,2025,February,28,Friday    ,19,Other,Theft Of Motor Vehicle,Auto Theft,Highland Creek (134)
2025-03-03 05:00:00,2025,March,3,Monday    ,16,House,Assault,Assault,Kennedy Park (124)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,11,Other,Theft Over,Theft Over,Parkwoods-Donalda (45)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,8,Commercial,Theft Over,Theft Over,Agincourt North (129)
2025-03-03 05:00:00,2025,March,3,Monday    ,5,Other,Assault,Assault,Bayview Village (52)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,16,Apartment,Assault,Assault,South Riverdale (70)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,10,Educational,Assault,Assault,West Hill (136)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,1,Commercial,B&E,Break and Enter,Islington-City Centre West (14)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,1,Commercial,B&E,Break and Enter,Islington-City Centre West (14)
2025-02-01 05:00:00,2025,February,1,Saturday  ,0,Other,Assault Bodily Harm,Assault,NSA
2025-03-04 05:00:00,2025,March,4,Tuesday   ,10,Outside,Assault With Weapon,Assault,O'Connor-Parkview (54)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,10,Outside,Assault With Weapon,Assault,O'Connor-Parkview (54)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,12,Transit,Assault With Weapon,Assault,East End-Danforth (62)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,12,Transit,Assault With Weapon,Assault,East End-Danforth (62)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,2,Commercial,Robbery With Weapon,Robbery,St.Andrew-Windfields (40)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,12,Transit,Assault With Weapon,Assault,East End-Danforth (62)
2025-02-01 05:00:00,2025,February,1,Saturday  ,10,Apartment,Assault With Weapon,Assault,Parkwoods-Donalda (45)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,13,Outside,Assault With Weapon,Assault,Trinity-Bellwoods (81)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,19,Commercial,Assault,Assault,Church-Yonge Corridor (75)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,19,Commercial,Assault,Assault,Church-Yonge Corridor (75)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,19,Apartment,Assault,Assault,Parkwoods-Donalda (45)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,21,Apartment,Assault - Resist/ Prevent Seiz,Assault,Briar Hill-Belgravia (108)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,21,Apartment,Assault - Resist/ Prevent Seiz,Assault,Briar Hill-Belgravia (108)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,2,Commercial,Robbery - Business,Robbery,St.Andrew-Windfields (40)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,1,Other,Assault Peace Officer,Assault,Church-Yonge Corridor (75)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,19,Commercial,Assault,Assault,North St.James Town (74)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,19,Commercial,Assault,Assault,North St.James Town (74)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,18,Outside,Assault,Assault,Corso Italia-Davenport (92)
2025-03-03 05:00:00,2025,March,3,Monday    ,23,Commercial,Assault,Assault,Waterfront Communities-The Island (77)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,0,Apartment,Assault,Assault,Cliffcrest (123)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,18,Apartment,Assault With Weapon,Assault,Scarborough Village (139)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,19,Apartment,Assault With Weapon,Assault,Dufferin Grove (83)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,18,Outside,Assault With Weapon,Assault,L'Amoreaux (117)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,1,Apartment,Assault,Assault,Waterfront Communities-The Island (77)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,2,Commercial,Assault,Assault,Waterfront Communities-The Island (77)
2025-03-03 05:00:00,2025,March,3,Monday    ,8,Other,Assault,Assault,Mimico (includes Humber Bay Shores) (17)
2025-03-03 05:00:00,2025,March,3,Monday    ,12,Apartment,B&E W'Intent,Break and Enter,Blake-Jones (69)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,20,Transit,Assault,Assault,North Riverdale (68)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,8,Educational,Assault,Assault,Willowridge-Martingrove-Richview (7)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,18,Commercial,Assault,Assault,Bay Street Corridor (76)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,16,Outside,Assault,Assault,Downsview-Roding-CFB (26)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,13,Apartment,Assault,Assault,Palmerston-Little Italy (80)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,21,Outside,Assault,Assault,Agincourt North (129)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,21,Outside,Assault,Assault,Agincourt North (129)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,2,Commercial,Robbery With Weapon,Robbery,St.Andrew-Windfields (40)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,22,Transit,Assault,Assault,Agincourt South-Malvern West (128)
2025-02-14 05:00:00,2025,February,14,Friday    ,11,House,Assault,Assault,North Riverdale (68)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,15,Outside,Theft Of Motor Vehicle,Auto Theft,Maple Leaf (29)
2025-02-28 05:00:00,2025,February,28,Friday    ,12,Educational,Assault,Assault,Agincourt North (129)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,23,Other,Assault,Assault,Church-Yonge Corridor (75)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,22,Apartment,Assault,Assault,West Hill (136)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,18,Other,Assault,Assault,Waterfront Communities-The Island (77)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,12,Other,Assault,Assault,Banbury-Don Mills (42)
2025-03-02 05:00:00,2025,March,2,Sunday    ,11,Other,Assault,Assault,Clairlea-Birchmount (120)
2025-03-05 05:00:00,2025,March,5,Wednesday ,13,House,Theft Over,Theft Over,Bathurst Manor (34)
2025-03-05 05:00:00,2025,March,5,Wednesday ,8,Apartment,Assault,Assault,Church-Yonge Corridor (75)
2025-03-05 05:00:00,2025,March,5,Wednesday ,15,Commercial,Assault,Assault,Downsview-Roding-CFB (26)
2025-03-05 05:00:00,2025,March,5,Wednesday ,0,Apartment,Assault,Assault,Forest Hill North (102)
2025-03-05 05:00:00,2025,March,5,Wednesday ,22,Apartment,Assault,Assault,Kingsview Village-The Westway (6)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,14,Educational,Assault,Assault,Steeles (116)
2025-03-05 05:00:00,2025,March,5,Wednesday ,23,House,B&E,Break and Enter,Bedford Park-Nortown (39)
2025-03-05 05:00:00,2025,March,5,Wednesday ,14,Outside,Assault,Assault,Downsview-Roding-CFB (26)
2025-03-05 05:00:00,2025,March,5,Wednesday ,11,Commercial,Assault,Assault,York University Heights (27)
2025-03-05 05:00:00,2025,March,5,Wednesday ,0,Apartment,Assault,Assault,Regent Park (72)
2025-03-05 05:00:00,2025,March,5,Wednesday ,14,House,Assault,Assault,Beechborough-Greenbrook (112)
2025-03-05 05:00:00,2025,March,5,Wednesday ,10,Apartment,Assault,Assault,Oakridge (121)
2025-03-02 05:00:00,2025,March,2,Sunday    ,0,Apartment,Assault,Assault,L'Amoreaux (117)
2025-02-12 05:00:00,2025,February,12,Wednesday ,8,Educational,Assault,Assault,High Park North (88)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,18,Commercial,Assault,Assault,Church-Yonge Corridor (75)
2025-03-05 05:00:00,2025,March,5,Wednesday ,9,Other,Assault,Assault,Mimico (includes Humber Bay Shores) (17)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,19,House,Theft Of Motor Vehicle,Auto Theft,Yorkdale-Glen Park (31)
2025-03-05 05:00:00,2025,March,5,Wednesday ,16,Outside,Robbery - Other,Robbery,Bendale (127)
2025-03-05 05:00:00,2025,March,5,Wednesday ,20,Commercial,Robbery - Other,Robbery,South Parkdale (85)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,19,Outside,Theft Of Motor Vehicle,Auto Theft,Humber Summit (21)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,21,House,Theft Of Motor Vehicle,Auto Theft,Englemount-Lawrence (32)
2025-03-04 05:00:00,2025,March,4,Tuesday   ,17,Commercial,B&E,Break and Enter,Kensington-Chinatown (78)
2025-03-05 05:00:00,2025,March,5,Wednesday ,20,Other,Assault,Assault,Mimico (includes Humber Bay Shores) (17)
2025-03-05 05:00:00,2025,March,5,Wednesday ,17,Commercial,B&E,Break and Enter,Kensington-Chinatown (78)
2025-03-05 05:00:00,2025,March,5,Wednesday ,18,House,B&E,Break and Enter,Willowridge-Martingrove-Richview (7)
2025-03-05 05:00:00,2025,March,5,Wednesday ,19,House,Assault,Assault,Lawrence Park North (105)
2025-03-05 05:00:00,2025,March,5,Wednesday ,15,Transit,Assault,Assault,Black Creek (24)
2025-03-05 05:00:00,2025,March,5,Wednesday ,15,Transit,Assault,Assault,Black Creek (24)
